      lon.         lat.     shear_stress(bar)   normal_stress(bar)   coulomb_stress(bar)
   -74.494011    18.494539     0.271794100567882E-02    -0.522281096389276E-02     0.628816620121719E-03
   -74.494011    18.504539     0.270418398687520E-02    -0.519360221470378E-02     0.626743100993686E-03
   -74.494011    18.514539     0.269017481191943E-02    -0.516437537121801E-02     0.624424663432223E-03
   -74.494011    18.524539     0.267594789781866E-02    -0.513518505497363E-02     0.621873875829207E-03
   -74.494011    18.534539     0.266153719014615E-02    -0.510608422773731E-02     0.619103499051223E-03
   -74.494011    18.544539     0.264697606338386E-02    -0.507712406108771E-02     0.616126438948771E-03
   -74.494011    18.554539     0.263229726124190E-02    -0.504835384491550E-02     0.612955723275703E-03
   -74.494011    18.564539     0.261753283603637E-02    -0.501982090506282E-02     0.609604474011242E-03
   -74.494011    18.574539     0.260271407555856E-02    -0.499157050682167E-02     0.606085872829894E-03
   -74.494011    18.584539     0.258787144909054E-02    -0.496364578576557E-02     0.602413134784310E-03
   -74.494011    18.594539     0.257303454621968E-02    -0.493608767178750E-02     0.598599477504676E-03
   -74.494011    18.604539     0.255823202640237E-02    -0.490893483116283E-02     0.594658093937233E-03
   -74.494011    18.614539     0.254349156450538E-02    -0.488222360613752E-02     0.590602122050367E-03
   -74.494011    18.624539     0.252883980574554E-02    -0.485598796881586E-02     0.586444618219196E-03
   -74.494011    18.634539     0.251430232156935E-02    -0.483025948007003E-02     0.582198529541340E-03
   -74.494011    18.644539     0.249990356903270E-02    -0.480506725527837E-02     0.577876666921353E-03
   -74.494011    18.654539     0.248566685538517E-02    -0.478043793931991E-02     0.573491679657204E-03
   -74.494011    18.655239     0.248467693265244E-02    -0.477873560726663E-02     0.573182689745791E-03
   -74.484011    18.184539     0.287864860880720E-02    -0.588098179934425E-02     0.526255889069501E-03
   -74.484011    18.194539     0.288921241247655E-02    -0.588272741526637E-02     0.536121446369997E-03
   -74.484011    18.204539     0.289859689185287E-02    -0.588259394829342E-02     0.545559312535503E-03
   -74.484011    18.214539     0.290681234984197E-02    -0.588061863440412E-02     0.554564896080322E-03
   -74.484011    18.224539     0.291387672416953E-02    -0.587684957808740E-02     0.563136892934573E-03
   -74.484011    18.234539     0.291980533838234E-02    -0.587133150073851E-02     0.571272738086938E-03
   -74.484011    18.244539     0.292461620750222E-02    -0.586411291126301E-02     0.578971042997018E-03
   -74.484011    18.254539     0.292832882010346E-02    -0.585524443902357E-02     0.586231044494033E-03
   -74.484011    18.264539     0.293096418034389E-02    -0.584477882450420E-02     0.593052650542212E-03
   -74.484011    18.274539     0.293254469620087E-02    -0.583277068829525E-02     0.599436420882771E-03
   -74.484011    18.284539     0.293309417990429E-02    -0.581927650157606E-02     0.605383579273865E-03
   -74.484011    18.294539     0.293263777553715E-02    -0.580435441708816E-02     0.610896008701886E-03
   -74.484011    18.304539     0.293120190240714E-02    -0.578806414852691E-02     0.615976242996375E-03
   -74.484011    18.314539     0.292881420051764E-02    -0.577046683377442E-02     0.620627467007870E-03
   -74.484011    18.324539     0.292550346840032E-02    -0.575162489984308E-02     0.624853508463088E-03
   -74.484011    18.334539     0.292129959281174E-02    -0.573160190882346E-02     0.628658829282353E-03
   -74.484011    18.344539     0.291623348394516E-02    -0.571046242094110E-02     0.632048515568715E-03
   -74.484011    18.354539     0.291033700158341E-02    -0.568827183809667E-02     0.635028266344745E-03
   -74.484011    18.364539     0.290364288264210E-02    -0.566509625663127E-02     0.637604379989587E-03
   -74.484011    18.374539     0.289618466354537E-02    -0.564100230984957E-02     0.639783739605544E-03
   -74.484011    18.384539     0.288799660282828E-02    -0.561605701541620E-02     0.641573796661803E-03
   -74.484011    18.394539     0.287911360038664E-02    -0.559032761848211E-02     0.642982552993799E-03
   -74.484011    18.404539     0.286957111594701E-02    -0.556388143407047E-02     0.644018542318826E-03
   -74.484011    18.414539     0.285940508647918E-02    -0.553678569459589E-02     0.644690808640823E-03
   -74.484011    18.424539     0.284865184198934E-02    -0.550910739250561E-02     0.645008884987095E-03
